id,name
5K4W6rqBFWDnAN6FQUkS6x,Kanye West
3nFkdlSjzX9mRTtwJOzDYB,Jay-Z
7dGJo4pcD2V6oG8kP0tJRR,Eminem
3TVXtAsR1Inumwj472S9r4,Drake
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj
4kYSro6naA4h99UJvo89HB,Cardi B
55Aa2cqylxrFIXC767Z865,Lil Wayne
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg
3q7HBObVc0L8jNeTe5Gofh,50 Cent
1RyvyyTE3xzB2ZywiAwp0i,Future
246dkjvS1zLTtiykXe5h60,Post Malone
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky
6l3HvQ5sa6mXTsMTB19rO5,J. Cole
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator"
3Mcii5XWf6E0lrY3Uky4cA,Ice Cube
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat
20qISvAhX20dpIbOOzGK3q,Nas
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X
1URnnhqYAYcrqrcwql10ft,21 Savage
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD
5f7VJjfbwm532GiveGC0ZK,Lil Baby
2LIk90788K0zvyj2JJVwkJ,Jack Harlow
699OTQXzgjhIYAHMy9RyPD,Playboi Carti
50co4Is1HCEo8bhOyUWKpn,Young Thug
757aE44tKEUQEqRuT6GnEB,Roddy Ricch
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert
5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.
0QhGH0GJkrrfNIYmVY7BVi,Tupac Shakur
4xRYI6VqpkE3UwrDrAZL8L,Logic
0c173mlxpT3dSFRgMO8XPh,Big Sean
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa
1sBkRIssrMs1AbVkOJbc7a,Rick Ross
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak
3LZZPxNDGDFVSIPqf4JuEf,Ice Spice
2SrSdSvpminqmStGELCSNd,Stormzy
2p1fiYHYiXz9qi0JJyxBzN,Skepta
6Ip8FS7vWT1uKkJSweANQK,Dave
4r63FhuTkUYltbVAg5TQnk,DaBaby
